치킨,상품명,가격,상품링크
0,에어프라이어 치킨 떴닭 로스트1kg+1kg/100%국내산 ,"16,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB841808564&data=wGQgIPptjsx9Qi03zpHXA%2bZWuJ3qRwDX%2f6qb0BemkOICtvuZTwAdFIgRyOEsd4dxQb6J3pBqCQAWeRevc25D4QQXLVjtfdB8EUp44IEGa6KCErZaZg4O5WgBGOwxNrnG7nX2neNAtRlakHOUsUKCoCy1dU833IxhP1SVkx3yuyUfN21CD60rBPyNquq%2fu%2bJVfO7c7NR%2bb%2bOzHEC%2b%2b7eG8a9iNpUUe2KYY4q%2f5qDy%2bfy%2bh%2fQQugi%2bs9q2iO72L7LoFzISl3nbbozJLQqoObizEqgLMzMNqDA4Id6hjIVPbVqubMbfAS%2f4AJAKngoF97N1rG9hljLD%2bSJZEr1UWxEuKhkYMcO8wTcchEtMohuEXzXjZOG0mvq1TTKgfM3b83vQyEYDJRFGo4dQVDpGXpykw50J0i5bWnY5wvULvXiMxlL4lybEFN8RNgtb7LoSyDiQo120Eg%2bSP4Zhvv7dsTsRbZYWfIGOjouO0UmhX5EuzPe6Oi0kb8AxlQpsFidVYsgtR9potyZWA1m6Ef6nsnsJDPOmbjPMhnNCOcLDjJPH8WlfEFpCgZBLKCUxOsMPEby9VtC6GQS4kKJ%2f%2fggE8j%2fo0K0DLn9ynuE4im7EDZZmX3ei9QCkrHi%2ff86MNl3kfsdfnRkWwG8j0nikPH8Shp3AuveXTISrp3xuXekckN6rfTy1J8vDQfQ1w1D1ZxFvFhcrnmplUPcNYyFI%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206830&type=1
1,밀리원 가마치 훈제치킨 스모크 통닭 (600g)X4개 set ,"35,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC493161020&data=wOK0mSUzlb5eCNUoHeZC5BJvtBBvj6MOJfJ%2bEmcF9CDQYRf%2f02qeG7yAdxav%2bRjSavC%2f41AEbrB3rbBXi%2bgfSDM6FxsMBpx3LXwOGux4o2kjD3jsQ24gNcCShr7mgJnlmGHZwqetMg1tH3pt50DlA6YVmThDmfn%2bVOjq2jdgOt0XRuJCgfMVKK0LUqpth5d5g85Les1m9eSKiy7qTDDjmCyLWt2te9BjQPpAzavg%2fgd1VRasvojPM4hJpSvcs0Qu3D3hJkaf826I02%2bETbbrINK37onDY1UTBfYLbPQ1T9HSZDcAoPui7pa8L7ynfpKVW9d5AfC4m0Sa%2f5TX01TNLExQ2d2Wu5ecrAbWCdIq5A5jTNZ7phQZGmq2Vd7%2fTT4sEdYjiQuBUb8gjRYOc0H%2fxPcQNGyOkQLID5LzLCBGx8KrKxCpf4nx5U%2b3unhhmhKPVSZQTB6R%2bAdi5cVJhfq4rwPymTwZG3b0lPHg0DwX0JPVR%2fY4xi2VkE6SLWSm97Y7zLwVx28Q5R38t9oR49KWSudooo7D3tAtTXhUVi%2bROt3nZaTOvA7qeARGTQIUeTsRAP8suIcYTSVNWVcVEW%2bQkOAEIRjUoZczRNK1MRd9xmpK%2bNL6nVswU4To1kpMRDTdsRb8JZ86ZxV99Yp4R2l1AjYXq95aSmn2IGYyFvjRGWbWbgVH5%2bwFLZgmugO5CH2VuXWye0vZ%2fo4M%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206831&type=1
2,포켓닭 닭가슴살 슬라이스 양념치킨맛 1팩 ,"2,700",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC269602454&data=wsP07KgqvfbzYJn57BkhmYg7HdfVFqrluLOT5LTAU0a421ksHQFJrlfeD%2fLxhPO3b%2bQUW2On0sTdZ87wVaUTC7MnhGWkODa6q9fxG6ghXVVBKaIMyGVQd2PHX8tPXGhdtTUY%2fKBDN9Vxx6e%2bhoNG1KRL4B150nCzI0jcCXxUL50xrOD8azFbz6odXocODL6d9yrqpu50bh48kN2cKJYCyYAkASEDqJaG%2bFAJ%2b85GzieNdqizLkU2yUsVgAbr1Zp36RjCxKY8dylrLCdRmtQbjgRamPQK4xWFHvVALLZADXXdPbCOEs4%2fOkKXnLpaIzYnb8RbyC9ckCjd3dj6C58LXVq4jL7j5pzwk5OhlOhjwYDE9EaqdFb%2bdMHL8QLlShel0AsP4yYvmsXaGGrCKIpZ%2fjSHUbVb1EqtomysKKojpi3lhZWErFdtukJKwhK2PxCiN9OzF2ymopS%2bDO2j5ZD6hd%2bHSLCGE3%2bW4eFNhdwYWnso%2fxrenBA1aIW5rHzFEC25ofTlPiWWj%2fV5JQEU8gjT2vLsuxj7MrTyAGTK%2fjJAFNunnHaZKJhuYTarPgqD4jXQXnKNu9nfqLHNdoxSX3s%2bvEgTmBVwKa3W5dF34yGj2Q5oZs2sPUCy0obBblF%2b5m0LhBbvgYvIQqZij0YnQy4AhqFJ2GqDFXUEtBknlEfj1pFvFiJ%2fmEo51krfYXOcnyOpqSAzjOJ5A7DfGj4BXF%2beT%2bg%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206832&type=1
3,야식이야 바삭하게튀겼닭x2+고추듬뿍넣었닭x2 (냉동) ,"23,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC256448725&data=wBOULrZ26xFEUdsRZhW18B82hlGmejOR4AmtYoyuIwHQrNGppuk7Jvcgv2QBaMU6v1YDqFS10OmB%2fJzPCsoaLTsXGvipRtjg2kgw%2b5B31v8FnT%2fvCGnPhc7YxaPW6gpVjeBla7H8%2bP1xylKoV81Cu81EPZtJmWkMJEBWjurl5BwFoW27m4XG4Q%2bYySoYNtvNPHw4ey9dW4JEQjEI2Qyxk6%2b2oB5p4EIseeQj7VyDUgqnaYFjw%2biWsIKPn55VRtaaXgsgNbGsejOrXBaSPtvgMRtaruyi4TxGmZWM3rfDEOoxk8dneAjn%2fA9%2feCujyw9fSfz7MLEODw0kYmSzIDx8H%2fYl3sg%2bYtNmcgHzg6omOPOCH%2b4HeEF9CHihLvqLSw6RoR3y2laPR6lGgG4izBJp%2fDOB3XN%2b%2fChbQraKX5nV39veMqVZKjQUKfckg%2fvKXlZTq5OEITKz%2bmwHfHXd8FAYjhiXgLCTaWKE%2fGI0hhbLlVWc5W9lbxB3MX5TcYwx4xxLvJur%2f1ARTi3pJrnf2%2fpnhFqpGi7GrXTKgnQpLaApLVr%2fs5fblf1Lf9xNLb0MYmeKpTiIwOesIr4RBOCtTp4nUCfYQT7ZCUVRdzW2IuDeg43bNMkACvt10V6lmg6Ja15WqpV96ZO2Oa7HyJVcpHjoN9w3Ww8HPfQm3CozxnCDYDzBQbF83kKcl1FUqiOJsImJUmGErtfb5gI5nUqFZjq408A%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206833&type=1
4,엄마손 치킨텐더 350g 3팩 / 어니언소스 3팩 증정 ,"19,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB759945532&data=wBx8rMLxPt3W1ZtEnWqEIxeg2Nz%2f7hRCQkwd3c11Fw3LicLC2MgjBQZvkMmbpnLWAyiUlJrFql9%2bWP%2fMlqiWQrbFpHCcBfzrNvC%2fImE%2bNSwzeOhPVBHejp2syBmOwaU9iLfrOqumIcrasg28tn5wL4LQeCOmjiD4j3vdEGErSYB86t3GuH0%2fN5aAt6SNr33W8a2wqphH0pqXuY5Ox%2bRRObcJpMzLLQEaXOSzNDE6ZgZ2jORmYlEsP8UOteG5mzA5Xn%2fYEby%2fDBR77LQMc5u88vtYCzoPVi5o9XGSyfgT0I%2fgL57HTitpUi878Uteqrt1yc34xT0qLeahlLRuDdb1hokokrZNjUMfEU19YknCp7OVOqsLNz9eIj1SeZhNuFclX7WojCt8bw1Ey9YGscHuEvGEbu5TQHRBsMAeadRjgVWo4i2El9dLjngQf7qTTc5L%2bKhyh9mIitCPiWiTscGmg4enqQ4icTLQSsT0MG89SADFxtsFGFW24oaq%2bh7Vmh8YGxfG3sQcYbb0wAxVfpZ4j4Or%2bXsD1c%2fwe1DY91IwmUip4ifddLZECydn6zB8s0nsk93KzpBHQlScn0u4eLiaK2DxN2XUh7uP4PF5ryhpP1hvyCx1350SoDD2rgjqe2ymmkEkKbu2B%2bQNtIsUabm8EafN%2fQNNdmy%2b5TmA2t8hPAragRbuuaB74aIG%2fcqaM6aj9AZg8ucasN%2bQ%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206834&type=1
5,데리야끼+매콤 치킨 통다리 바비큐 (5+5)/170g총10팩 ,"34,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC339144669&data=wzQfJQn77V9D%2fPNnG6Bg8OzvUAQ27iRkQ51PMYNqhFpqRwThDp9Dz4IVE0CGMcx7OxzxAedXvwwF3V940OSxdJr2GkJtYPrmuEGzn1QOTVADmSqFmIfCDpKTkpjGmqBNOI%2fgL82fTQo35ySxlJEpWJCSirQaTAiM2b057TFPWMqJOlL6Kn3cplB8J7uOVQMHVOmX6jhhMdeIWAq26xkDSHK0Vf3OhPImHn7x7%2bcYuaGMDmY3DHPIQUHU9H7b0J2cI7NFt532d64GbAbQu16l2dpoKW3lhooU1ZGN462Rdtdob0P5dCleE5oKyjuUIbwHk20tN1RH1QtxTZsWirVX1uPqnNAqF2jlo5C9xmrLCGLBPTqkCV2PRe5LA8aK91LHt0xxP%2f45IaV73Fcx9zvTemFzNEHNYx4NxPBCkdAEPwd5qhJWpeEnMW51Azn1fVDjGyhgyc6w3gntPVKEKJSDFe3FL0hYkrN9p0kK51%2fM0ENSev68GyzGpnxf2X2eTkdbZohorPNodYCr5jVG7Ic3dkPlMsggVyJ%2fqGaYbegAlOLi%2fQJf4sXudyLKrXjtk8%2f%2fY%2f2jV%2bgP1%2bO1TJNt00eFpI0dJEWFw%2fm9WE7w6hjVfTPPjc6V3X6LdZctBY%2fR4nkzwU%2byh8Y9tbL1BoWGQOXMDK3ZPNHPTt5nPRMN36rxRKiY43gVXtc%2b6eU%2fam7Zk3j5o8ApgZ7IbQtI%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206835&type=1
6,고고새우 CP 로스트 스파이시 윙(봉) 1kg 냉동 치킨 ,"16,000",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC236694873&data=wz4tErPvsLEVlMRXle5ozFcVaYswcBZzrqr5Jl5MuGBC%2fjL61uBKXF05Gy2GR2rQ3%2b9a%2fGkbAbweDIaq9hFXwhi2TgXwNSvJlIdD0I7iE4LVFIQA5xha9EkoGQWWcSkF6RWiE%2f0N2LKAHAaBWfzRK6nvs2sCPCSQjaoXp8wy4WUL5klPq328qesjLCZluzFiF%2bLoyOt0HMCKrVSLlPozQDukpJBSKNf%2fQRBtweivlf%2b4IMflO%2bUH8%2faPt1DogOsYZ9mrsBzflx4ZaHxO4Jr%2bu%2f75Y2b0SySKYh6F3nLdspWjc4T4sleOsF7v8TKNXFXqR%2fctUulPL6lFXe%2fzJoEO2P69ZU7NJe%2ffGU409FEBKkcTq%2bA6Qc79smbwPfMB3nHHhGBb2LPmT4Cm4%2bsCnHfCEMBtouGgd8lEPqmBQaN%2bchyd1vSBuzL7%2bMHqDmqGfZtCo97du0QZ6U5Xhj%2b%2fsbhqE1STHEmV5oR1iQdx9RboWZ7i%2f4SFiJwKk1zNbjMX4ZdY%2fSu12AP5FS%2f8YUx8d2NKzxn7m%2f%2b5Srhr6a%2b0u7GJ7WyFMCue8YWBWUcJlWo0CAUEEyABzuEod2NePI3a9hkDlrOUQrFGg33cA6DlQhQ1jcJ8Iy1YDml2Z4sz4ynwAYEbktSkDmS5DP2HrRQamBz%2b3XLxPXkZhAqaanIAaUIDQXjpQ6EKGPXSc0NBwjlzu6g6h45uDw%2fNCEy8%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206836&type=1
7,슬라이스닭가슴살 양념치킨맛 10팩/무료배송 ,"17,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC274894744&data=wBOULrZ26xFFjYMwFd8qyq7gSEl%2fLbSpTrV6iNHxZgPxczde7HwY35ALdF8nS1F5PSrVxF0AucUehIxHeaRffxgDUfo%2fOUWD1ykUB0owcyp8kwgFSJBWxi%2bvQ9hoq7bG8w%2b8qJT%2f%2fTjFqUCJotlGRoTgQ2RZ90d5Lzv8O9NehHlAtQebX1ThJPJRJhR%2b%2bBBtUiQHRTNk9VqiLZsFp26GeZFhhodusGZIrNzdlJJ6J8kLkbwDbaOP3jWdicrwwWysduHkHRwfF0LWZH4tHU8O0eAwrNlClKF3ELGauDZuhxBZK7xhfP1sv9HyupzT01ZrwMRiXaico5cB2j%2ftHnvQeG5O5gr7v5a7AnKpNeIbOEBjxhMfonoDnZRJ6mJJu30FKHQRQWC1wZNSRokAI%2fHaCweqyFRUsJ9KBF3Oy7%2fjLevoOGa7I9%2bBXbW3Zd5ICwmB%2fa%2bq31Bz0j0As2ohhr%2fhFs%2fH5v78sZp7YDPoZivDKATDq04jc7sHDFO%2fyILjYEtfkJIG5h1OGzg31%2f5o%2b8BeYXLR8IAItusy35NVlEyo1ypV0iRisGm09LN%2fz7OtK%2by7x5zAi2Eb8VKAUp75XjEN31jd26Gj2o2H5TlYBPXUzXbJQ0GC0C5Ja%2bOs%2fQnWLa%2be1CAwNUM6AgjPZtr2SfB7YeoXIxGNETKQHsSRTkxlc%2bIlI9GeX0x0Bmyqgv300mcoYoF5BbiXfwR4%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206837&type=1
8,속초중앙시장맛집동해쌀닭강정1700g순살닭강정1300g ,"18,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dA971448040&data=wQq%2b4XegQwlXV1Q9wbWHxxVVEFL1sATKypGmRrR4kC19jzeLtJAOpOXbPl6GVJLjIY%2f%2b8%2b7GGFYWYmxEAUsJU1O1V1ezE28MCvdDAvhdljQn50dx4zIUL120h2s8tP1%2f1J3E8slRhJyIMh54pTIpgK7R%2bqQAexyJZWLxuBNTLqDRSxV34pjx0NrXBBVO4pvmodZV8YV4ORwN4uK9SsJ0okbdpl8YFwjo9vB1IFe9LC9MRL5QhUe9zS%2fiIDZ1gObbSjyrrCxRblLUqt7%2bEwKOKL5gNl7tB1FpJmMsZ3I%2fo20fft91z2f4RVGjZ2WaO6gMqzRB1HFigIKXP%2blGxBv%2fF3ZneaicJhFheFUuTACcnE5x4GBxg7MJDHzaFBv37tHfbcgyRg3GXh0j%2fivD7FVL7lFaIr3z8phC2Y4bFP2U05vI4VvpsezqA3Lsh4xtwTuY32DwmYuqLtF3ybESDio2kr2ybMPlKagEBCOUDljLng%2bQ8nXVaRzMrrPiW%2bnFEuXncwaujh0FIraMs38EpnA%2b1zVV597XNAPfV%2fHj94ZH%2fHmDYUd5%2f4YptBTNum67eIJxCbS8y63HUOberX0H2Zjl60pNHSIWm4pS9nBhhNiUnsi%2fBTARGAHHCQj5xRAA9iukP6Vms8W%2bVEi5Gynk9Ny6kryZWmbPSMKDmN9VezVYK89JtVEDhIQ56Rma3AuWJCGxgG4NwX1HuzZs%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206838&type=1
9,구워나와 완전 편리 삼선구운치킨윙봉 6팩 ,"30,000",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB568290926&data=wPd%2fWwWhsLK9SCWx5z2LFNZQN7%2bz10HTb7JwCUXv6U8RWENhZdx3aeWR%2bgCJCugw0TC%2fhBXaGwRDO1JY62i865gHJK%2beORtkHGDrgTBgq2fduBbkESlYLMayvBb0B9M0t%2fCK1Z7EioHS4eyAjWr82iWcLmI7nnBOaRZuO7K1CeB7k3FLlg35P6rGOnPmEHzsjLzfYS7WGJmv%2fNHGFEBJOBd5z%2fPP7GmF1Xv8acHWaLrWMmlwqYcbVvZdsXEwf7bQ7xjGe7BLBX1Uqq5NYRKPUl0b0wx%2bizmoYZn6qvdkXMmlJfdOdSVYdXAxVdgG3z8ag8jlsm%2fSIRZVS8%2bwt1pew%2fpuVCix9CWVS%2f4gCggQ87Ia8SX8p9z1Uvt6ZGqfX1OFSXYElo%2fDIXCtut0gWbezyLRPxwq3Ej3tz8V9mjSsNG4OIzHTD2KSz7165s1Z5xLjkPG0xrXngr196MUU5LjHVLNKYobpJofkvRiGxw6bdefUO7nmx%2fg34Cy8Ft5pVBcXPl7y1IBQch9qdaxpMsJUOJK6Yz2KDWHTCNC%2b89HjXoiHiRYnGohkcZoIXqmvEmJMbHN8t8svdLKtpO0CsIEe1yv3hmyM07T729fxUM9JS8KQ1oWyRbCllJ2z3ol6qpCPQS54z8kfeiTmaoCKda%2b4cHf4LCxeWHTX%2fsrsP1ypRBS6Bj2%2bGW9BM3%2fzMF%2bDOvYohtOPx9ZrxVlCJGZQT7nOR1A%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206839&type=1
10,무항생제 순살 치킨너겟 2봉(500g 2개 ,"27,730",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB866016650&data=wPd%2fWwWhsLK%2fABBJp%2fiT%2fHupP94EXtAEPTw6pcmAW0HCJZj4LClCDxSN7G%2fvKlwazlKCS1xI1PlqCFWhB3Q%2f9Xkmmo4XAKg6HLaHuhagUhMVLQoduWG%2bH0iv0HL2zEANWLEZiPyZTZ28tK2AwF%2b93yhd%2fy8Zi50V16Vo0WYr1A1V%2bdjXcz2CraWEh0ku3VXPDDYvsNb4SRHkplTK%2b2WWAmid64H7x%2fcQlYuoeMMApOKcbkk%2fIw7ysqG87zMY7zM0xZJ%2fGmKcxriiqNwvIrTeP2CnEXG%2bftFiupeMZWJEnV5ELp%2fRRPbYr9a1UlCo70OPORmuTLank9XskxwEe7QQSyEMkq8xRacUAv2rd38DHibFgfTUT9CYaTj7bF18PbRAvE3tsC6B79WRxvxxnUwcADrQF1s4utyU6hhL89woqz7cJrVDINFSCMtNW6sgEXS51cJRapWlOzGjRfFPUeZOfb9ug6e4CtOouQ9LEf14MIP3Kwxq2K7MLzsqvW9y3%2bzFNN7eiBCoeFbTqqPaK4R2Xxh6XSgnvn%2bWb16hUoOyUF3890S4MdieQMC4g8yDnQ5p%2bp7MI08edOdInqtidhdJ3vXG0oayjpZAgCZgTbJOihyuBXRqEJierUbZuN1Kl%2fAlAhfbfc6r4c%2fG1JN7k1P1i1kN9ddktdhh1APEjFBlemGBo3chPi35Utg62bF99AGXhx9T%2fQu8vjz03OvnhhVujvQ%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206840&type=1
