치킨,상품명,가격,상품링크
11,청정원 야식이야 양념치킨소스 뿌렸닭 200g x4개 ,"15,600",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC358965733&data=wGQgIPptjsx9ak7spPx0L%2brX4gsYA8fHIStkytwgrCY9hf%2fhvh94NeqVrcpDOHb1g1e39jRnIraI9q5RvBy9COP9r8ESE9tEuxhzMW5jzxV6eEzegxFyooz2SWkBKIrA9T9uTxj%2f2kiX02CXbq2kjGgdJ%2bFxo2xMEkfZc1ihEsz8NQTpJcOukGG3aObDQ7%2fEaraIOFhl7BW5ErMM9G1bWHX%2fGv%2fACm2xpZXT37%2fqkahwssrGbT3wNmp3WukK%2boasxyFLuodyt0poAdx%2bEfF4tIpoUDkHK9FQ0GXOQW0NwW9%2bpWvdCdVsDYlRvVq38b5xRT6UUP3WrXTJY%2bWmx%2fZVkKe3TZkBZZnPXFCyVh4uGJJicumFCNjezk7rlIWwFhHxxs7WGFlDOyZWo9u5ybiSYubOG6jhEkLQPtgyVAsWxuFmXJsNbFut75QuxDUdIs0thseWK4H%2fHxVbhcs%2bmh0WxF5loQVvRG253YKWN7SwWyrTbjktkaXU2lUV%2bPCsyjrHj6jsqjMPnf%2fOyACKkZymxLscVOP2WxXzKDP2%2fxHvNIhjwSsXhi%2fzt4KYdH3N4ZskIkwR21Nc7uvzI7PHCDJuqSTTqUs3c6oot8z9IzSbabe0PmdLMhG9r%2fgys%2fCJLOYMimxMCpHE4I5KfDyOukikvsLSHwRo5pEX%2bp5ktKM%2flcJJSXtqqBsTP7Kx8XgOcIxoO05zy3ROvnI%2bch0qAkgRXeg%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206841&type=1
12,에어프라이어 수원 왕갈비 통닭 로스팅 치킨 1.6kg ,"23,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC328526568&data=wQq%2b4XegQwlUjiLuaBG%2bUbhbSYfWRtmzEVbsC2s3hhEaedBrjKajcoq7Vt4hxxPsPjQmH07wIKz%2f9q7m5XOce%2bSOddD%2fkd8RMW4k9JZxyqHkaaMNG0yZ8RzNPFz1whIGu6NGLB9L1YPPU3GC2bR%2fbFWq6cPPTT3DDieETuAa9xOwLSI0NdhgRCzOOQarjPQDTo8y08dwoyEIeCROsYvk6WF7oZSWHhma6nTyWcEIE2D7pR7vLeQH08v3Jk4GOJ5M4Sc031vI5hWsUcBe17l%2bSJvw12ASZF0NldC6nG%2bQd%2fA%2b7KtaF55I2qmky7E1SQqj46koy6XZjmnACVN8QpUyjSLjUBkWw8Ui3fCHYSm50Sso2e1idIzDiGi8rfqPxcE1u%2bdbcqqOB0in%2bE235uLVMAUeiCibHgIyQYiiRvoRcrDZUbo7p6AOqkw%2fMM3A7gF7Nzzmuxd%2fX%2bjs%2fBtWQWpnzNYiLmLmJnGIFs7IulN3WLwIuculafFCY8db93BhNQlyDYSSpgFYpNxOGLjF9hSyiYJVioVrD%2bD7907LfqZvbU%2fJMxTkRAzJJ5P39pemOGEgg9rYBLLCGZPAiL2OpfU5BgLDV%2bxdF1nJ1FI0TSvlVdh3D4U2vJJjgnc45GRYO33P5oiMc5Qr2gGTpUYXvdYLlgapyftvEaAWn162NzEBgqavMQ59Ya3rPBJ38yeSWVwE06N8rdi%2f0634%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206842&type=1
13,(현대Hmall) 하림  아이로운닭가슴살팝콘치킨500g ,"5,700",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB847068027&data=wGQgIPptjsx9ehzCdxJ9ER5v%2bNcQUeoFLS8ksQCURPZue0WoHQFs%2fCyw49ShN41DH888bOiYjlU3z8oWRx%2f67Gqt%2bfOjgz02ww8KH7Cyn3RKVHsLtaLbkhwAWL4aRqgDv5uYNC1DzAb7eh1qO4A5Y0p%2b0fKYfKIawV%2bA5JdCFU2aKNGD06FTvke6l7nQFPrBfusL88jiseyuksPYgMYsDMLRNqK2qtjGZhKcppWszavufvPaml0bh%2b%2bil%2b9Gv1hyieR1qlF2AC7v69xjdyO2E7MO9qqZK6h7FyTrsLRwqs3vZnPhZQu1iwN2XchkQLyjFrNxwMsDCUamcACDwVYskxvSX3Q7yzhHtUMyMeiEQhKdFZLb60u2akHGipD3lM5kMGDeOTKpag1%2fTv%2bUh7mB9UzaUdVrjDQW1LDyr6IcNVir1PQAx7mfEGar%2f9njkjf4t1pyBN12ODqvaMr6i3IFaDCiR4crhCmP%2fj6ew9vvkVpS1KkA%2bZ5Jc5Te7xPNmNWIXoeZaAeXi347kO%2bVAOOa8B1nOm%2bjm1Yo0f57lFucU7Qqs%2bLmopV9MhEAGWCkrlUhPFdLPsmzbgIQ7QxsIaKei%2baTktaUN1GMn%2b1ND746Ia5VyZ%2fR58RF%2btir8eCBTOG3fMEDcMf4lodyUDxguyG6iPSVbMUYiKcBZ9zZ2fRM%2fPSj2LyI7NHYHbt31mEa4HgSIVVwF6MG%2bWZM%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206843&type=1
14,치킨 순살크리스피 550g x2 + 핫스파이시 550g ,"22,320",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC325400949&data=wn4M7ou6NNP%2bS2Q5DsAQhTqJw%2b0LUptl8Zz8abc4Elm2y9F02xolCpJFKcl1%2bJTMQ1672%2fNJyWlB9g6PA0HLppbr5t8e%2bZUS4V9KjSSxx0b%2bmxb0QXJCvtlDV7H2KogcZ2zrpbsdgONQcOSKHKgwZLnl5ezN6fVhb9lu38j0pg1apdhdJ79S0DoHg6t5Po2joXmYm2tN0PCpx0RWxxFbPS2ORnkyWkG2QgOqLcb%2b5rLiz%2fk%2fXe1P%2bsN3EqmSBqw4AV8nsliRhMJ1uPlEn%2f0LBHBcK3Y4ZglkG9KIVZqZdIU3dnXadSMPZbCpMXKHlpVKxifVAbUtBcS4betOMEdcBWL6XSlrx6OXFITlZa%2bZCIkV%2fXpmYorojRSKCU8%2b0RaWfe579qWwLms5mhcRQ4BiXACckzWDu81sQferBrEkWsSC5IC6OFFwkKIZgMg%2bt9GtzuUKAkvXNPHXQWJyFh41%2fPaV2oU0ewn%2biKPfwrUfLLUNIPW0B8xTjudhJmpQ9aTk7L5hPZrnI%2fCra33DJzJ7ccqdC5l%2bRs31iJBQYH1t7lTz7M%2fVB8wEMzCDHO6IloVQehutzbP9jBmtd7i0yffykBgBt1SlyKirxGczz9DZ6E%2fyjehv4xf%2feu1Qux7zDzAkJED1PQtyzlyEuvAxkiGMLV4sRVE4OEqZ%2fzLf0UePHPTAZ18c1rpYF0SEUL4ooYuOo%2fTJ3oxKvfJeudToPF%2foj4w%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206844&type=1
15,뉴올리언즈 치킨봉1kg/부드럽고 쫄깃한 닭봉 ,"16,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC239045292&data=wPd%2fWwWhsLK%2fYa5FYjTGihMxKAbP76O6jcg5Cls8TrLsF1QFP0IevUhzIbt4rfglDM1%2f4wJrBm6tkXl5hg7AVCZEAOLYu1CU%2bXLm8SiZgqmOWx0tUFR1px8lIbvZjC%2favlLZ6zn8JNOcpzbjikuunECXS5rq1vQFb0rxX06GijqOstYK6afBnqSzNHlSYtiFU9tKBOcsjrhZNGVOKbCDXnZISjQ7WWNzUqthyHrmg7SwhKuiNalDAL6VhCZA9k814Z6w%2bpeDdErtbghfl10UnnBq5GU3I5tfkpkMYOTkB1QtrmY%2fwlRtt7jj1WOeExT%2fsjCHiULQbMh6YmTBkvXe5Z1osWBsd0ABbMlrmWbJQUuveo8Kal9VKf6tEtoC3EarZ%2fUN5fxUgobDxngibKC2pBsX13yle9wKXLx9E0eTT2zWKuAfoxLuiVBfDoeoJTgST4drteWQW1GWpRcMzn%2b5h2Anr2gv0LIN5WLOzOxBsCLqBsKPuOrf3ouavMPzsDknOeIMqG1y66xgs83LxjcP%2bR5tOhxPzCaK%2f8RN1%2bGBn9vEW2pMe6nRhOrjFdGbc0JX4%2fjkBbjuL3g9KldTmhpxn5AkqLFk%2bs8B6oDZhk04LARHZKN7A17uM2IJxVdGNnca7vshRxo6QaJaUwmLLPW9YiKmMaFpURVgzfGWurQftu1SZwdHxHFvcohSo2%2feCDkO5weoveQIiX60%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206845&type=1
16,한맥 포켓치킨 핫후라이드 180g x 5봉 ,"14,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC452619835&data=wOInCwShaQ%2bdjfncMpHyS0gAKQp%2fL1UwTK1LfmEatxuybdbowpJeIgOIx3OkkojKz7uJxkFQtQUq9TFoSUhSvlnd%2fsO0mcp1RNhmL0hmdiN84xuWVpe%2fGssukLFcwA7o8x4umF6d91qJyXoPtpt2iqgOMajAuMfhzkYp%2fgJZ3TPaZi9JmwFPJ6w%2bYLWlTXlV1BWKSQzHtEwgfVbBCmUU04bmCpHD8toD7jzQT1m9jrWYRhlRD1SqelKmzADHMA1sgqgi0cPJpTtj9vtRqzQmsSnwLBu2Kg%2fQjopTlkqG3NDUYix18JFD06zwiYZzbrOTaXUVeol0k4JcBhexS0dx2Bl3sI%2b7wL4iWWS49X5Ol6nVYT%2b07U6bZvf1CAScpodrNLcIRfn%2frp4%2b1w9YKX1S%2fTi9OKDdEhnA6NkI9HZxTXkPYnOGbbEcAS5p5yOySiXZUhnwN%2beFYHaSQucD3iBRN8uYkyY%2fBpYWC7NJDRPi1te1%2f89skLBifUrcLXywXETrHk%2fMOxxNmLZMQVbokPfUI6OypeoSGpvTocl1Pj%2fKzqkNzw3nrugdAHFkcPlOzLWoOs0X1NcVj2ZTsWEzH8FzvmnKl1O%2bCQGD2z%2b6mgbkP9Yh%2foxTQq0UR0vOphysyLY8lAWBuw68dD9fdqID3WVb62uB76rF95wN6W09qnuakjR7PLEH0lRLprvIab0cQO5XMdjOpQiSBPjA%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206846&type=1
17,한맥 포켓치킨 양념치킨맛 180g x 5봉 ,"13,800",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC452636493&data=w3YoKjKgvE4KM3raVQl0OannlfauF9gYmew5JyfRDwJGvjxEa5IEh99OxUHsMaJaP0OZY6czX2FsVPz52nBkyheoBg4rriCKJUSu27R5TxbVHIehxSmBpxoW17mLpuBPCIrFLX%2bAnh%2fnWdt80FnF5oxfmsFFXqBi2LinhkA%2fD%2fCDZYUqP4r1gcsoUh4BV%2bjpYaO%2biyjcQmrRTbzLH%2f%2b%2fTXWV4%2fr8Ts3oe2qgpsAB3Xe9z9EvFj4Eggns7JQ7HZeQU%2byCoovWiO5PfLAeYsF1OGPeIVOlewj0ayzNAFg445pbkC5oIto91D0QYqHNMMYxJrRSpeVHL3DxBJvum7bLMt7ERg1ExyRqyCaM54dvngzlD3kedZZ7iBc%2fvTP8osNPxi3nQiXkTLeZ4h8aGjEOzVmJ%2fHPwpuV7DXfB4Q8b1oiwMbC88BJK3Tpbf4O%2bWjX3y%2fmm3fjxGdai0o2LVIiV336OdClaRES0ImXt6y%2fLOWUf2in7GyFlVRLEJkqIydtYUHWh7cjQxaUERopfcMqgrDA3GPnC9mNdFmiFvg2%2bM0p3jecj3gWObdbS8xGhL6%2fdGSctoEV7d%2bpx8cAHddXr%2fltjtR9xk4T15ffRluY55hk50mh0Q0%2bKXquxEscDK5af%2fH88WxRWG1Cdvjtqdoa0bI%2biPQ6PhLsw3vhxUt80K%2fpg%2f8gtAGOfc%2bb2Y6Gc1lOIeofLC9OL%2bC7o%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206847&type=1
18,한맥 포켓치킨 데리야끼맛 180g x 5봉 ,"13,800",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC452628665&data=wBx8rMLxPt3XP63PugWmJn6Bhay0KXRjkaICaFb%2fuTNBQUk0kobmMp7j6xiW86d1vMdXi4UnACX1GQz9cD%2fJbm0d61OL4Fty%2bqEFf31HXces4m1AX9kl5DjaVlhlvAOdx8ZyQC76XZFrn3Z9Ku7E%2b0N7VLPlJktd8El41qMMleYMK3pDLXS6hJz%2fh3399iEqCBMinusNt8gd1Bh%2fjgU3RtIUvuwm%2bB%2b%2f%2fg37kRuuHIgG06kLU7YKM2NNk8lhflRQXpwCSmGJySjMbpbJ3fgPhB%2bgjlh31yS53fAqWQBWoOXhHhufr%2fWaBq12h%2bb1Ff%2bh%2bck95uK6hRMCg1PTxrlKytCQUEWCXuz86EVGiYns1fE5%2f8kJvlSiievVIYSg2wg5qNoMQi7MJk%2fuQdrpnqq2zKFan43CGGQQV17IizC8NtVc3PUww5Nj2DyimOOdTkEC0Z49KuN6sYE1TnVYZ7e92LIBEvLdjJLdsgcr0ooaHKpioEGKFN%2b9R3WtDHJvQSOhF0cDkDIXIrn8sU1X7PuVdqQ0QC%2fQDeJIeeRCcQsM32cBnX%2fdo1T07Zsbt4oxlYlb%2bHBrUQRYtohm4C6BjFgPkuuFHCzbrhQfDyzo5RxB%2fiIGl4%2fcvSII%2b9tzbqBDqmdTFkOXLPbQZuKv5v3UvjUO5HRG5kKQCDab0WNJDRKsJpSjqyKT%2blDAhTQk8mdfKALazFetWN%2bQPTh0%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206848&type=1
19,치킨 핫스파이시 550g 3개 ,"17,520",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC325374242&data=wyF8nBF5RAO9Yva4VC%2bp8nzRW0ChN4FEtu0Z%2b6XGsFvVV5t760ErXx%2bH73u1HvRs3c2JXZS9PNZ3eTM7nbGhpqC8A1gc5NEHPnGhRWKOEGNfjP54yTDXmmYWXjM7iYOMOzBvE0skZyJJEnaKGuXPOHe9zjGzRVK9VnX0PqZqz6xWqqLi8ZtswCJ4nQLCfaFRe8xtVWl0WZpMVYuLli8hgOT6%2fy%2bSogtXTA8aKw1rirvqOd8zxM8D4a9QjW1%2b6%2bSgXDfQr%2buyJLx6QxcC8B%2fBezgMRdZJ%2bACKIoeCU5oWTiLWBOFkDcLm4LmXQ8vfuEGvg9eJ%2fu9GQ18T9fkO1nzYti9FDjmllOl2BVLXYcc3b6ymYQnZru1lKHluc8WBLNMk91r9UbktUgDEZUCzRPCzh4XfaVhEQWJR2rBkjzxhYE2jsM9ng1J134qMC%2bmiDXzx6S68hner2QqR%2bbh%2bOWv5NIFUX5lEUJopgjO7Ba4Hg6nt6y%2b88qaRjz62FcSQSzM4osTEGq%2foDI73ogQX7OEELV%2bgb5zJsktZLqGvfIRIyt%2be2DbWe7t9b0Ha7IDGADbfPkVv36ZH%2fwrLXJkWUt9dQqXu3MVZJ05UrdsZLlREIKsoX%2bbo6DtxscXLfeK4m6QV%2fOXHdHk%2fmDEI0nQixEmWo%2fC93qVHRQrpRFNMeBhP%2f4seDV5C0pzV4fn6ApiTkpx44gQnsZdH9fYSowroBpEh6IQ%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206849&type=1
20,크리스피 양념치킨 550g 3개 ,"22,320",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC325383603&data=w3YoKjKgvE4JHQhaLBj8oAjgL1iLb4wPjeRWGagsixG0WNkcE9ane9%2bwbGLYf7EyI3FUAnqMXMKbbG7ZWZ0X3lCF%2bYGIy1FSwvofkbBPPlLr8hnZHWgSD7ss0CUqqGvOl%2fY2acyK5kwfX451wUEXDW0DP%2bUDDcuzUbXl4SQ9EhZh5wXoSEgkI7F0DzYyjotQGwltuL%2fjQIaw2AmSwaRwAs7F0kEhC0CHjvQWbkzqIoPrVuQ%2fWB%2ff8Hgzimfi3yuTuDKVxIoFoNQFsIsiDBZlMBz7HaBH4v%2b2dWfjYla4vevyqetVzf36NxnPWfjc99mwxDQoxXdB2KUGelDR89m8rnhoQmwJEXIiHrWzd%2b4Ag7jUN39u5SHyQ87CRU2QT3eQqfnuILEc60k03nsHo9%2fr4nzIgr%2fIeBJIQUYsFKDR9ZLyiVxiStaFz9mg6DAccTVVtFUTsk1TSvg1LepaoCH5qCoCrKKRv1ngUxiEPiBowl4KBc%2fYygza0jfdD%2bT7hJH6LOjo2I1LFzSZLOa7ZzMoIiAnl6WouFzezqksw9%2bIeKEjBskT4mbHz6Fx5RdRfJ3ch6mIcGBzl%2f1fO6%2brnOosrseE9qnizvEF82rdbiVDtR3eEnQVWS4kGGCgE7vYimQf9NAlplk1CiWMec9f8HlGwNktXNiTl3dAQJrDpcMPQb7yeDkYZcHqg%2bcLxfR20PmR0Nj0NM1uRb57BbFgdnHQE1Q%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206850&type=1
21,치킨 3종 (핫스파이시 + 양념치킨 + 순살크리스피) ,"22,320",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC325406360&data=wzQfJQn77V9BB48hFaZ4tIeeyGlj1%2fLr2SvzhNgOmrIzkFSYapVrM2sfcCCHjOVlQbu%2fmxq9xsIuFdVvnK0lYp1TiLSBNEt4%2fNp0GFYLwcc9MojYgzAbLJD44KBROjwuiZBuDEHeSxX6jbuXl%2frs%2b10vTpY3gkZuPgraLsT32rrRZV1NyvED5fXpEKXZ6yU1hZ3wXYHTrT5PWS3zAIYS8Th64NdorfKaq0OhkcrSBc1WB75IB5VFyrQk4HNDOR%2fKgel6DJoAWcT4%2fSNrFL4ZeRI5f2a5fYP%2buHKtG9QH8yIb3V1zCsKmbnog1g8uQTLKsPjBU9rB26esbn40FVi6PfYlOI53uM%2bCzMK2Br5DPlR3%2b78e4HHz6s9p8O2nfsvxc%2bw0aKCou9fwxtfKK4ekBRE2Gl6f1XwEc%2fjHxmsIqQhhzQHAwweN6XDB%2fqsRpXwBN7sFTgOX0Tc493rHSCJ7ytNCw9P3I9Q%2bkVR1rBcP%2fGU2vu%2bHLMoCukRRNQOidtqYhstVRqYJGk%2b6AzFERzh3ybk%2f8YhK%2fr60eKsP60A7%2bSPI%2bjHAtkJhuBqMsJXskMgQ4ewv%2b42rZq4seFRa4L2e44L8CdxGetYopXw%2b27Tvjtkd1RGb3y0NqYUZNVCTULuNr0zJ2tOCdPiccamkOVkXeR8IR1AWGdX9dzRS5XqsdL%2fimQ7YfAy9pCbZeYd%2bAunDDsOwXDDFw50ejXZh9BM14%2bg%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338391206851&type=1
